invoice_id,customer_id,amount,tax_amount,total_amount,status,due_date,date
1,5640,187503.59,24375.47,211879.06,overdue,2024-02-04,2024-01-20
2,8538,15197.2,1975.64,17172.84,paid,2025-07-08,2025-06-08
3,4978,126079.54,16390.34,142469.88,paid,2026-06-27,2026-04-28
4,2615,158734.17,20635.44,179369.61,paid,2025-01-04,2024-12-28
5,85,191535.97,24899.68,216435.65,paid,2025-12-04,2025-11-04
6,2591,96671.16,12567.25,109238.41,paid,2024-11-21,2024-11-14
7,7526,14982.06,1947.67,16929.73,paid,2025-09-11,2025-09-04
8,448,31446.53,4088.05,35534.58,paid,2025-06-10,2025-05-26
9,8980,70556.83,9172.39,79729.22,cancelled,2025-05-25,2025-04-10
10,6591,64568.74,8393.94,72962.68,pending,2026-05-11,2026-03-12
11,3546,93587.72,12166.4,105754.12,paid,2025-05-29,2025-05-22
12,9027,69317.33,9011.25,78328.58,paid,2025-08-28,2025-07-14
13,6842,170896.98,22216.61,193113.59,pending,2026-05-23,2026-05-08
14,4553,179780.67,23371.49,203152.16,paid,2025-03-09,2025-03-02
15,7204,31168.21,4051.87,35220.08,cancelled,2024-01-27,2024-01-20
16,9124,134635.58,17502.63,152138.21,overdue,2026-01-02,2025-12-26
17,5504,16715.47,2173.01,18888.48,pending,2026-06-24,2026-05-25
18,8671,195705.91,25441.77,221147.68,paid,2024-04-05,2024-03-29
19,5028,12373.87,1608.6,13982.47,paid,2026-05-05,2026-04-05
20,3267,74162.57,9641.13,83803.7,paid,2024-10-13,2024-08-14
21,7733,151645.11,19713.86,171358.97,pending,2025-04-24,2025-04-09
22,1992,62739.8,8156.17,70895.97,paid,2025-10-22,2025-08-23
23,1202,120890.28,15715.74,136606.02,pending,2025-04-26,2025-03-12
24,2262,157805.42,20514.7,178320.12,pending,2025-07-22,2025-06-07
25,1536,114874.44,14933.68,129808.12,paid,2026-01-13,2025-12-14
26,72,185169.96,24072.09,209242.05,cancelled,2024-02-04,2024-01-28
27,7196,92257.76,11993.51,104251.27,pending,2026-01-24,2026-01-09
28,793,145188.2,18874.47,164062.67,pending,2024-07-16,2024-06-16
29,3609,48607.94,6319.03,54926.97,overdue,2026-05-01,2026-03-17
30,8698,69965.29,9095.49,79060.78,paid,2025-11-02,2025-10-18
31,9514,10845.24,1409.88,12255.12,paid,2025-05-03,2025-03-04
32,8923,66564.47,8653.38,75217.85,paid,2024-07-23,2024-06-23
33,3301,94450.33,12278.54,106728.87,overdue,2026-06-11,2026-04-27
34,7188,166515.31,21646.99,188162.3,overdue,2025-02-02,2024-12-04
35,7147,87434.93,11366.54,98801.47,paid,2025-02-18,2024-12-20
36,906,161202.41,20956.31,182158.72,paid,2024-06-13,2024-05-14
37,1386,46668.49,6066.9,52735.39,overdue,2026-06-02,2026-05-18
38,6293,185028.45,24053.7,209082.15,partial,2024-10-17,2024-10-02
39,801,145702.1,18941.27,164643.37,paid,2025-08-03,2025-07-27
40,8947,86184.13,11203.94,97388.07,paid,2025-12-01,2025-11-24
41,3508,174627.36,22701.56,197328.92,pending,2025-06-01,2025-05-17
42,2728,50269.28,6535.01,56804.29,paid,2025-11-11,2025-10-27
43,9646,105012.6,13651.64,118664.24,pending,2024-11-16,2024-09-17
44,7259,198691.81,25829.94,224521.75,pending,2024-10-14,2024-08-15
45,5986,29655.41,3855.2,33510.61,paid,2025-10-24,2025-08-25
46,8638,146855.72,19091.24,165946.96,pending,2024-12-23,2024-12-08
47,7447,9518.32,1237.38,10755.7,overdue,2025-11-07,2025-09-23
48,2981,95748.31,12447.28,108195.59,pending,2024-11-21,2024-09-22
49,6743,4897.16,636.63,5533.79,pending,2025-11-08,2025-10-24
50,6558,107522.4,13977.91,121500.31,pending,2026-02-10,2026-01-11
51,3397,59524.12,7738.14,67262.26,paid,2025-11-29,2025-10-15
52,8950,192719.48,25053.53,217773.01,partial,2026-04-02,2026-03-03
53,931,44560.19,5792.82,50353.01,pending,2025-07-28,2025-05-29
54,477,82845.46,10769.91,93615.37,paid,2025-11-15,2025-09-16
55,6563,5378.33,699.18,6077.51,paid,2026-07-16,2026-06-01
56,6340,145243.42,18881.64,164125.06,paid,2025-02-17,2025-01-03
57,3804,182853.97,23771.02,206624.99,pending,2024-10-21,2024-08-22
58,4200,9269.56,1205.04,10474.6,pending,2025-03-30,2025-02-28
59,6058,180362.65,23447.14,203809.79,pending,2024-02-25,2024-01-11
60,6862,40238.38,5230.99,45469.37,pending,2024-08-07,2024-06-08
61,8861,171897.55,22346.68,194244.23,paid,2025-09-02,2025-08-18
62,5993,184025.46,23923.31,207948.77,paid,2025-01-01,2024-12-02
63,5947,143222.59,18618.94,161841.53,pending,2024-09-02,2024-07-19
64,2295,50621.19,6580.75,57201.94,pending,2024-11-07,2024-10-23
65,1259,112723.88,14654.1,127377.98,pending,2025-05-04,2025-03-20
66,5005,50794.89,6603.34,57398.23,pending,2026-03-24,2026-02-07
67,3122,5812.18,755.58,6567.76,partial,2025-08-28,2025-08-21
68,8326,103389.58,13440.65,116830.23,paid,2025-10-06,2025-08-07
69,3290,77537.41,10079.86,87617.27,paid,2024-02-24,2024-02-09
70,2593,127240.7,16541.29,143781.99,partial,2024-06-01,2024-05-25
71,5034,175816.48,22856.14,198672.62,pending,2025-05-03,2025-03-04
72,8810,77365.52,10057.52,87423.04,pending,2026-07-13,2026-05-29
73,1477,27249.31,3542.41,30791.72,pending,2026-05-29,2026-04-14
74,4780,90592.45,11777.02,102369.47,pending,2024-05-14,2024-04-29
75,1476,25226.7,3279.47,28506.17,paid,2024-04-16,2024-02-16
76,4127,170495.07,22164.36,192659.43,paid,2026-03-24,2026-03-17
77,5081,191911.53,24948.5,216860.03,overdue,2026-01-11,2025-12-27
78,4770,165262.38,21484.11,186746.49,paid,2026-01-19,2025-12-05
79,1941,1853.56,240.96,2094.52,paid,2026-01-09,2025-11-10
80,8325,72985.91,9488.17,82474.08,paid,2024-09-26,2024-09-11
81,9183,143811.27,18695.47,162506.74,paid,2026-06-01,2026-04-02
82,1252,43536.33,5659.72,49196.05,pending,2026-02-11,2026-01-12
83,4052,176909.31,22998.21,199907.52,pending,2025-01-06,2024-11-07
84,7611,168632.53,21922.23,190554.76,paid,2025-01-20,2025-01-05
85,1349,167589.51,21786.64,189376.15,partial,2025-02-06,2024-12-23
86,1862,152026.2,19763.41,171789.61,pending,2024-12-06,2024-11-29
87,2175,192988.27,25088.48,218076.75,pending,2024-08-02,2024-06-03
88,9508,154165.02,20041.45,174206.47,pending,2025-03-19,2025-02-17
89,666,34039.87,4425.18,38465.05,paid,2025-06-30,2025-06-15
90,2675,107830.33,14017.94,121848.27,partial,2025-04-08,2025-02-22
91,4344,75128.84,9766.75,84895.59,paid,2025-01-16,2024-11-17
92,7190,51351.4,6675.68,58027.08,pending,2024-10-15,2024-10-08
93,1505,46419.28,6034.51,52453.79,pending,2025-03-15,2025-03-08
94,7902,51057.44,6637.47,57694.91,paid,2025-11-28,2025-10-14
95,7623,67800.99,8814.13,76615.12,pending,2024-09-10,2024-07-27
96,3612,90251.94,11732.75,101984.69,pending,2025-03-23,2025-02-06
97,6271,92506.07,12025.79,104531.86,paid,2024-02-12,2024-01-28
98,2505,191568.78,24903.94,216472.72,pending,2024-09-11,2024-07-13
99,4880,31757.63,4128.49,35886.12,paid,2024-10-22,2024-10-07
100,9589,130219.71,16928.56,147148.27,paid,2025-09-10,2025-09-03
101,2149,30335.43,3943.61,34279.04,pending,2024-03-16,2024-02-15
102,2446,193212.83,25117.67,218330.5,pending,2026-06-18,2026-06-03
103,3620,52047.65,6766.19,58813.84,partial,2024-11-24,2024-11-09
