sale_id,customer_id,product_id,quantity,amount,date
1,1808,3108,16,30468.96,2026-01-11
2,7889,4955,13,351477.1,2026-05-17
3,4630,588,12,126008.04,2025-08-01
4,4788,2369,12,13201.32,2024-03-02
5,1094,2251,11,238731.68,2026-05-14
6,30,1162,11,197181.82,2024-03-27
7,4694,3465,4,121359.08,2026-02-21
8,3744,4121,20,988673.6,2024-01-05
9,679,3142,1,27661.74,2024-12-29
10,3677,2116,1,25388.49,2024-08-04
11,5662,3821,16,254161.92,2026-03-07
12,7235,4773,8,146777.2,2025-02-10
13,9122,2520,17,70586.89,2024-08-19
14,4788,2801,20,494407.8,2025-03-06
15,5460,1120,8,328620.4,2024-08-11
16,9784,1501,12,471801.72,2024-11-11
17,4156,1730,4,95186.04,2024-02-09
18,8328,1542,4,28458.72,2025-03-20
19,2747,1778,1,31261.53,2025-01-30
20,818,3231,19,138866.25,2024-09-20
21,2872,3640,19,67541.01,2024-05-09
22,5297,880,12,475328.76,2024-12-10
23,8771,1455,17,655898.76,2024-04-14
24,5248,2976,12,286485.12,2026-03-30
25,2166,44,13,411461.18,2025-07-09
26,993,3903,8,203352.48,2024-05-25
27,1140,2569,6,77501.88,2025-11-28
28,2660,4227,12,43835.4,2024-06-06
29,9409,4959,9,20036.43,2026-02-19
30,1505,2371,14,311748.08,2024-10-23
31,4966,1876,9,383733.0,2024-12-01
32,6763,317,3,133269.48,2024-12-21
33,2051,4736,13,646000.81,2025-09-18
34,7501,4378,3,84676.05,2025-11-03
35,4054,1973,6,191384.64,2025-10-16
36,7920,1983,3,100285.32,2024-01-27
37,1972,4125,16,493169.28,2026-05-28
38,968,874,18,235535.58,2025-06-21
39,8414,1783,12,478470.6,2025-02-21
40,4097,4216,18,811895.58,2025-05-19
41,6318,1971,6,8703.54,2025-12-24
42,2246,3391,17,808217.57,2026-01-01
43,9297,1500,14,328325.06,2024-04-25
44,3887,377,20,612008.2,2025-01-08
45,6856,2480,19,938845.48,2024-12-08
